timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.313984,0.636651,1.52228,1.91747,0.858425,0.951181,-0.426521,0.504361
0.314985,0.62194,1.46058,1.90769,0.831021,0.94735,-0.427835,0.508712
0.315992,0.612558,1.4996,1.94,0.892302,0.960617,-0.432634,0.50992
0.316996,0.59098,1.4722,1.93656,0.875609,0.957812,-0.435577,0.508455
0.31799,0.587326,1.44295,1.90719,0.852446,0.950279,-0.441218,0.511718
0.319035,0.583934,1.41133,1.89894,0.847714,0.950187,-0.449902,0.514841
0.319966,0.562577,1.40238,1.87006,0.863251,0.94583,-0.451698,0.512919
0.320927,0.555945,1.42393,1.89369,0.896422,0.955428,-0.448522,0.513057
0.322021,0.551803,1.44606,1.90692,0.899381,0.956011,-0.438758,0.514975
0.323028,0.535792,1.42366,1.84885,0.862176,0.950101,-0.42624,0.518973
0.323938,0.50237,1.39687,1.86721,0.836574,0.95171,-0.424637,0.517029
