x,y,z
0.55239108,-0.02242560,0.52277198
0.55244930,-0.02245166,0.52282386
0.55250745,-0.02247770,0.52287579
0.55256553,-0.02250371,0.52292776
0.55262354,-0.02252971,0.52297978
0.55268149,-0.02255568,0.52303183
0.55273938,-0.02258163,0.52308393
0.55279719,-0.02260756,0.52313606
0.55285494,-0.02263347,0.52318824
0.55291263,-0.02265936,0.52324046
0.55297024,-0.02268523,0.52329272
0.55302780,-0.02271107,0.52334502
0.55308528,-0.02273690,0.52339736
0.55314270,-0.02276270,0.52344974
0.55320005,-0.02278849,0.52350217
0.55325734,-0.02281425,0.52355463
0.55331456,-0.02283999,0.52360714
0.55337171,-0.02286571,0.52365968
0.55342880,-0.02289141,0.52371227
0.55348582,-0.02291708,0.52376490
0.55354278,-0.02294274,0.52381756
0.55359967,-0.02296838,0.52387027
0.55365649,-0.02299399,0.52392302
0.55371325,-0.02301958,0.52397581
0.55376994,-0.02304516,0.52402864
0.55382657,-0.02307071,0.52408151
0.55388313,-0.02309624,0.52413442
0.55393962,-0.02312175,0.52418737
0.55399605,-0.02314724,0.52424036
0.55405241,-0.02317271,0.52429339
0.55410871,-0.02319816,0.52434646
0.55416494,-0.02322359,0.52439958
0.55422110,-0.02324900,0.52445273
0.55427720,-0.02327438,0.52450592
0.55433323,-0.02329975,0.52455915
0.55438920,-0.02332510,0.52461242
0.55444510,-0.02335042,0.52466573
0.55450093,-0.02337572,0.52471908
0.55455670,-0.02340101,0.52477248
0.55461240,-0.02342627,0.52482591
0.55466804,-0.02345152,0.52487938
0.55472361,-0.02347674,0.52493289
0.55477912,-0.02350194,0.52498644
0.55483456,-0.02352712,0.52504002
0.55488993,-0.02355228,0.52509365
0.55494524,-0.02357743,0.52514732
0.55500048,-0.02360255,0.52520103
0.55505566,-0.02362765,0.52525477
0.55511077,-0.02365273,0.52530856
0.55516582,-0.02367779,0.52536239
0.55522080,-0.02370283,0.52541625
0.55527572,-0.02372785,0.52547015
0.55533056,-0.02375285,0.52552410
0.55538535,-0.02377783,0.52557808
0.55544007,-0.02380279,0.52563210
0.55549472,-0.02382773,0.52568616
0.55554931,-0.02385264,0.52574026
0.55560383,-0.02387754,0.52579440
0.55565829,-0.02390242,0.52584857
0.55571268,-0.02392728,0.52590279
0.55576700,-0.02395212,0.52595704
0.55582126,-0.02397694,0.52601133
0.55587546,-0.02400174,0.52606567
0.55592959,-0.02402652,0.52612004
0.55598365,-0.02405128,0.52617444
0.55603765,-0.02407602,0.52622889
0.55609159,-0.02410074,0.52628338
0.55614546,-0.02412544,0.52633790
0.55619926,-0.02415012,0.52639246
0.55625300,-0.02417478,0.52644706
0.55630667,-0.02419942,0.52650170
0.55636028,-0.02422404,0.52655638
0.55641382,-0.02424864,0.52661110
0.55646730,-0.02427323,0.52666585
0.55652071,-0.02429779,0.52672064
0.55657406,-0.02432233,0.52677547
0.55662734,-0.02434685,0.52683034
0.55668055,-0.02437136,0.52688524
0.55673371,-0.02439584,0.52694019
0.55678679,-0.02442030,0.52699517
0.55683981,-0.02444475,0.52705019
0.55689277,-0.02446917,0.52710525
0.55694566,-0.02449358,0.52716034
0.55699849,-0.02451797,0.52721547
0.55705125,-0.02454233,0.52727064
0.55710395,-0.02456668,0.52732585
0.55715658,-0.02459101,0.52738110
